-58,-37
-58,37
58,-37
58,37
-48,-26
-8,34
53,-10
-44,26
-17,-8
-52,17
40,17
23,34
11,7
6,3
-11,3
-18,-33
29,-27
-55,-19
13,-25
38,34
37,-9
40,7
2,25
41,-10
-20,-31
7,25
-13,-5
50,-29
12,-15
-42,26
-15,-24
-55,18
55,20
-37,-1
46,20
31,-19
24,-17
-3,-15
7,2
37,-8
-31,-1
6,-12
15,-35
23,-22
4,24
-57,-10
13,-4
-42,-31
0,19
-51,-10
-44,31
46,7
58,-31
0,-32
10,-24
16,-15
46,7
50,-34
6,-26
-23,-1
-48,-28
51,-33
18,-9
-47,-12
-47,5
47,23
-17,30
-54,-33
-53,-30
-20,-35
16,-22
-29,-27
25,13
11,-28
-37,-28
48,2
43,18
-36,-32
10,15
32,25
-37,35
-15,-5
56,-36
51,24
19,4
3,34
-2,-4
47,0
46,13
-57,15
-36,16
-32,3
33,9
-51,-33
23,14
14,22
52,-22
38,-14
-4,-20
19,1
-46,-12
-12,-28
9,-7
-23,-13
